BOCC Report,Duplicate / Different Acc/ WSH / Near Miss / Need Not Report,Time of Accident,Date of Accident,Service No,Employee No,Date approved,"[Auto]
Overall Case status",LTA Ref No,"[Auto]
Lead Time Submitted Cases","[Auto] 
CCTV Lead Time - Received","[Auto]
CCTV Lead Time - Pending","[Auto]
Today's Date",Date approved.1
434432,,21:12:00,2024-02-23 00:00:00,176,25462,Yes,No,,32.0,Not Applicable,53,2024-05-08 15:00:45.510,
434456,,01:25:00,2024-02-24 00:00:00,OSB,DA 21466,Yes,No,,15.0,Not Applicable,53,2024-05-08 15:00:45.410,
434488,,14:00:00,2024-02-24 00:00:00,AS Shuttle,15567,Yes,No,,1.0,Not Applicable,53,2024-05-08 15:00:45.390,
435515,,20:00:00,2024-02-24 00:00:00,184,10912,Yes,No,,1.0,Not Applicable,53,2024-05-08 15:00:45.410,
435520,,21:40:00,2024-02-24 00:00:00,912B,34052,Yes,No,,1.0,Not Applicable,53,2024-05-08 15:00:45.410,
435592,,17:55:00,2024-02-25 00:00:00,187,18459,Yes,No,,1.0,Not Applicable,53,2024-05-08 15:00:45.470,
435638,,08:40:00,2024-02-26 00:00:00,911,34791,Yes,No,,26.0,Not Applicable,53,2024-05-08 15:00:45.390,
435649,,10:06:00,2024-02-26 00:00:00,67,21327,Yes,No,,1.0,Not Applicable,53,2024-05-08 15:00:45.390,
435810,,17:22:00,2024-02-27 00:00:00,188,32200,Yes,No,,1.0,Not Applicable,51,2024-05-08 15:00:45.400,
435942,Duplicate  ,18:40:00,2024-02-28 00:00:00,67,23888,Yes,No,,1.0,Not Applicable,50,2024-05-08 15:00:45.390,
435980,,07:38:00,2024-02-29 00:00:00,187,23652,Yes,No,,1.0,Not Applicable,50,2024-05-08 15:00:45.470,
436236,,17:41:00,2024-03-02 00:00:00,961,20299,Yes,No,,,Not Applicable,48,2024-05-08 15:00:45.400,
436302,Duplicate  ,16:58:00,2024-03-03 00:00:00,61,27185,Yes,No,,1.0,Not Applicable,48,2024-05-08 15:00:45.410,
436315,,16:18:00,2024-03-03 00:00:00,187,34641,Yes,No,,1.0,Not Applicable,48,2024-05-08 15:00:45.520,
