Driver,Operation line,Alarm type,speed(km/h),Alarm start time,Alarm end time,Alarm duration,StartDate,MonthYear,WeekYear
14410.0,178,Harsh Braking,16,2024-03-05 23:58:00,2024-03-05 23:58:03,3,2024-03-05,03-2024,10-2024
31831.0,188,Harsh Acceleration,26,2024-03-05 23:58:00,2024-03-05 23:58:05,5,2024-03-05,03-2024,10-2024
21119.0,961,Harsh Braking,0,2024-03-05 23:57:57,2024-03-05 23:58:00,3,2024-03-05,03-2024,10-2024
35049.0,913,Harsh Braking,18,2024-03-05 23:57:57,2024-03-05 23:58:01,4,2024-03-05,03-2024,10-2024
30061.0,176,Harsh Acceleration,34,2024-03-05 23:57:56,2024-03-05 23:58:00,4,2024-03-05,03-2024,10-2024
34641.0,187,Harsh Braking,14,2024-03-05 23:57:55,2024-03-05 23:57:59,4,2024-03-05,03-2024,10-2024
34784.0,911,Forward Collision Warning,21,2024-03-05 23:57:55,2024-03-05 23:58:00,5,2024-03-05,03-2024,10-2024
15562.0,961,Harsh Braking,9,2024-03-05 23:57:55,2024-03-05 23:57:58,3,2024-03-05,03-2024,10-2024
35313.0,178,Harsh Braking,34,2024-03-05 23:57:55,2024-03-05 23:58:00,5,2024-03-05,03-2024,10-2024
35161.0,300,Harsh Braking,12,2024-03-05 23:57:55,2024-03-05 23:58:00,5,2024-03-05,03-2024,10-2024
31829.0,961,Harsh Braking,12,2024-03-05 23:57:54,2024-03-05 23:57:57,3,2024-03-05,03-2024,10-2024
11689.0,180,Harsh Braking,35,2024-03-05 23:57:53,2024-03-05 23:57:58,5,2024-03-05,03-2024,10-2024
35161.0,300,Forward Collision Warning,26,2024-03-05 23:57:53,2024-03-05 23:57:59,6,2024-03-05,03-2024,10-2024
21996.0,61,Harsh Braking,31,2024-03-05 23:57:52,2024-03-05 23:57:57,5,2024-03-05,03-2024,10-2024
11689.0,180,Forward Collision Warning,35,2024-03-05 23:57:51,2024-03-05 23:57:54,3,2024-03-05,03-2024,10-2024
20014.0,970,Harsh Braking,32,2024-03-05 23:57:48,2024-03-05 23:57:51,3,2024-03-05,03-2024,10-2024
34795.0,75,Harsh Braking,9,2024-03-05 23:57:48,2024-03-05 23:57:51,3,2024-03-05,03-2024,10-2024
74090.0,962,Harsh Braking,26,2024-03-05 23:57:46,2024-03-05 23:57:50,4,2024-03-05,03-2024,10-2024
23953.0,178,Harsh Braking,18,2024-03-05 23:57:46,2024-03-05 23:57:51,5,2024-03-05,03-2024,10-2024
19420.0,979,Harsh Acceleration,24,2024-03-05 23:57:46,2024-03-05 23:57:50,4,2024-03-05,03-2024,10-2024
31831.0,188,Harsh Braking,27,2024-03-05 23:57:45,2024-03-05 23:57:52,7,2024-03-05,03-2024,10-2024
34168.0,900,Harsh Braking,15,2024-03-05 23:57:44,2024-03-05 23:57:49,5,2024-03-05,03-2024,10-2024
28253.0,110,Harsh Acceleration,57,2024-03-05 23:57:44,2024-03-05 23:57:47,3,2024-03-05,03-2024,10-2024
18271.0,,Harsh Braking,9,2024-03-05 23:57:43,2024-03-05 23:57:46,3,2024-03-05,03-2024,10-2024
35056.0,75,Harsh Braking,2,2024-03-05 23:57:43,2024-03-05 23:57:46,3,2024-03-05,03-2024,10-2024
21115.0,970,Harsh Braking,15,2024-03-05 23:57:42,2024-03-05 23:57:47,5,2024-03-05,03-2024,10-2024
20730.0,67,Forward Collision Warning,21,2024-03-05 23:57:40,2024-03-05 23:57:44,4,2024-03-05,03-2024,10-2024
20480.0,,Harsh Braking,27,2024-03-05 23:57:40,2024-03-05 23:57:44,4,2024-03-05,03-2024,10-2024
34248.0,67,Harsh Braking,25,2024-03-05 23:57:39,2024-03-05 23:57:46,7,2024-03-05,03-2024,10-2024
21104.0,901M,Harsh Braking,15,2024-03-05 23:57:39,2024-03-05 23:57:42,3,2024-03-05,03-2024,10-2024
34815.0,75,Harsh Braking,3,2024-03-05 23:57:39,2024-03-05 23:57:42,3,2024-03-05,03-2024,10-2024
14461.0,301,Forward Collision Warning,22,2024-03-05 23:57:39,2024-03-05 23:57:44,5,2024-03-05,03-2024,10-2024
72094.0,972,Harsh Braking,10,2024-03-05 23:57:38,2024-03-05 23:57:42,4,2024-03-05,03-2024,10-2024
20471.0,172,Harsh Braking,0,2024-03-05 23:57:37,2024-03-05 23:57:41,4,2024-03-05,03-2024,10-2024
15575.0,190,Yawn,52,2024-03-05 23:57:37,2024-03-05 23:57:48,11,2024-03-05,03-2024,10-2024
22953.0,960,Harsh Acceleration,33,2024-03-05 23:57:36,2024-03-05 23:57:40,4,2024-03-05,03-2024,10-2024
36501.0,178,Harsh Braking,8,2024-03-05 23:57:35,2024-03-05 23:57:39,4,2024-03-05,03-2024,10-2024
34482.0,979,Harsh Braking,5,2024-03-05 23:57:34,2024-03-05 23:57:36,2,2024-03-05,03-2024,10-2024
34580.0,,Fatigue Alert,58,2024-03-05 23:57:33,2024-03-05 23:57:40,7,2024-03-05,03-2024,10-2024
23766.0,,Harsh Braking,42,2024-03-05 23:57:32,2024-03-05 23:57:36,4,2024-03-05,03-2024,10-2024
63157.0,911,Harsh Braking,8,2024-03-05 23:57:30,2024-03-05 23:57:34,4,2024-03-05,03-2024,10-2024
19337.0,176,Harsh Braking,18,2024-03-05 23:57:30,2024-03-05 23:57:35,5,2024-03-05,03-2024,10-2024
18959.0,187,Harsh Braking,19,2024-03-05 23:57:30,2024-03-05 23:57:35,5,2024-03-05,03-2024,10-2024
18689.0,972,Harsh Braking,4,2024-03-05 23:57:30,2024-03-05 23:57:34,4,2024-03-05,03-2024,10-2024
72704.0,180,Harsh Braking,22,2024-03-05 23:57:29,2024-03-05 23:57:33,4,2024-03-05,03-2024,10-2024
31829.0,961,Headway Monitoring Alert,49,2024-03-05 23:57:27,2024-03-05 23:57:33,6,2024-03-05,03-2024,10-2024
31749.0,991,Sharp Cornering,36,2024-03-05 23:57:26,2024-03-05 23:57:30,4,2024-03-05,03-2024,10-2024
31749.0,991,Harsh Braking,36,2024-03-05 23:57:26,2024-03-05 23:57:31,5,2024-03-05,03-2024,10-2024
34580.0,,Fatigue Alert,58,2024-03-05 23:57:25,2024-03-05 23:57:33,8,2024-03-05,03-2024,10-2024
23953.0,178,Harsh Braking,17,2024-03-05 23:57:25,2024-03-05 23:57:30,5,2024-03-05,03-2024,10-2024
14295.0,962,Harsh Braking,6,2024-03-05 23:57:25,2024-03-05 23:57:29,4,2024-03-05,03-2024,10-2024
73179.0,900,Harsh Braking,23,2024-03-05 23:57:24,2024-03-05 23:57:27,3,2024-03-05,03-2024,10-2024
21660.0,913,Harsh Braking,4,2024-03-05 23:57:24,2024-03-05 23:57:29,5,2024-03-05,03-2024,10-2024
30198.0,67,Harsh Braking,3,2024-03-05 23:57:23,2024-03-05 23:57:26,3,2024-03-05,03-2024,10-2024
12263.0,972M,Harsh Braking,7,2024-03-05 23:57:22,2024-03-05 23:57:25,3,2024-03-05,03-2024,10-2024
19337.0,176,Forward Collision Warning,32,2024-03-05 23:57:22,2024-03-05 23:57:22,0,2024-03-05,03-2024,10-2024
21103.0,901M,Harsh Acceleration,35,2024-03-05 23:57:21,2024-03-05 23:57:26,5,2024-03-05,03-2024,10-2024
20494.0,187,Harsh Acceleration,25,2024-03-05 23:57:21,2024-03-05 23:57:25,4,2024-03-05,03-2024,10-2024
19337.0,176,Forward Collision Warning,32,2024-03-05 23:57:21,2024-03-05 23:57:22,1,2024-03-05,03-2024,10-2024
19337.0,176,Forward Collision Warning,32,2024-03-05 23:57:21,2024-03-05 23:57:22,1,2024-03-05,03-2024,10-2024
21660.0,913,Forward Collision Warning,54,2024-03-05 23:57:21,2024-03-05 23:57:24,3,2024-03-05,03-2024,10-2024
34580.0,,Fatigue Alert,58,2024-03-05 23:57:20,2024-03-05 23:57:28,8,2024-03-05,03-2024,10-2024
21119.0,961,Forward Collision Warning,31,2024-03-05 23:57:20,2024-03-05 23:57:27,7,2024-03-05,03-2024,10-2024
18683.0,307,Harsh Braking,8,2024-03-05 23:57:20,2024-03-05 23:57:25,5,2024-03-05,03-2024,10-2024
19337.0,176,Forward Collision Warning,32,2024-03-05 23:57:20,2024-03-05 23:57:21,1,2024-03-05,03-2024,10-2024
20146.0,903,Harsh Braking,10,2024-03-05 23:57:19,2024-03-05 23:57:23,4,2024-03-05,03-2024,10-2024
21660.0,913,Forward Collision Warning,54,2024-03-05 23:57:18,2024-03-05 23:57:21,3,2024-03-05,03-2024,10-2024
20881.0,67,Harsh Braking,18,2024-03-05 23:57:16,2024-03-05 23:57:21,5,2024-03-05,03-2024,10-2024
19036.0,176,Yawn,35,2024-03-05 23:57:16,2024-03-05 23:57:24,8,2024-03-05,03-2024,10-2024
27206.0,985,Harsh Braking,35,2024-03-05 23:57:16,2024-03-05 23:57:19,3,2024-03-05,03-2024,10-2024
74090.0,962,Harsh Acceleration,45,2024-03-05 23:57:15,2024-03-05 23:57:19,4,2024-03-05,03-2024,10-2024
34484.0,,Harsh Braking,28,2024-03-05 23:57:15,2024-03-05 23:57:18,3,2024-03-05,03-2024,10-2024
25490.0,67,Harsh Braking,9,2024-03-05 23:57:15,2024-03-05 23:57:18,3,2024-03-05,03-2024,10-2024
19337.0,176,Forward Collision Warning,32,2024-03-05 23:57:14,2024-03-05 23:57:15,1,2024-03-05,03-2024,10-2024
20939.0,190,Harsh Braking,45,2024-03-05 23:57:13,2024-03-05 23:57:16,3,2024-03-05,03-2024,10-2024
19337.0,176,Forward Collision Warning,32,2024-03-05 23:57:09,2024-03-05 23:57:13,4,2024-03-05,03-2024,10-2024
35016.0,976,Harsh Braking,27,2024-03-05 23:57:08,2024-03-05 23:57:12,4,2024-03-05,03-2024,10-2024
67500.0,302,Harsh Braking,19,2024-03-05 23:57:08,2024-03-05 23:57:11,3,2024-03-05,03-2024,10-2024
21811.0,61,Harsh Braking,0,2024-03-05 23:57:07,2024-03-05 23:57:10,3,2024-03-05,03-2024,10-2024
20730.0,67,Forward Collision Warning,20,2024-03-05 23:57:07,2024-03-05 23:57:12,5,2024-03-05,03-2024,10-2024
19337.0,176,Harsh Braking,32,2024-03-05 23:57:06,2024-03-05 23:57:10,4,2024-03-05,03-2024,10-2024
35452.0,911,Harsh Braking,14,2024-03-05 23:57:05,2024-03-05 23:57:10,5,2024-03-05,03-2024,10-2024
